codigo_jde;num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status
12985556;12001130;INGRANAGIO COD.14001417 POS.11;TAV.314.0 ANCORA              ;UN;UN;1
12985564;12001131;COPERCHIO COD.14001412 POS.7  ;TAV.314.0 ANCORA              ;UN;UN;1
12985572;12001132;ANTIVIBRANTE COD.1500038 POS.5;TAV.315.0 ANCORA              ;UN;UN;1
12967788;25157265;CAVO DE POTENZA /CONDUCTOR ELE;CTRICO PARA TENSION MENOR 1000;UN;UN;1
12967796;25157266;CAVO DE POTENZA /CONDUCTOR ELE;CTRICO PARA TENSION MENOR 1000;UN;UN;1
12967809;25157267;CAVO SEGNALE CVS16.08.09.E.21.;AK.01 COD.1050190498          ;UN;UN;1
12967817;11701847;CATENA COD.1050820244         ;CATENA COD.1050820244         ;MT;MT;1
12964026;25900957;FAROS REFLECTOR A LED 24V PARA;PALAS VOLVO Y CATERPILLAR     ;UN;UN;1
12985581;12001133;FLANGIA COD.14001425 POS.4    ;TAV.315.0 ANCORA              ;UN;UN;1
12985599;12001134;ANELLO COD.14001422 POS.1     ;TAV.315.0 ANCORA              ;UN;UN;1
12985601;12001135;DISTANZIALE COD.14001423 POS.7;TAV.315.0 ANCORA              ;UN;UN;1
12985610;12001136;SPESSORE COD.14001444 POS.2   ;TAV.315.0 ANCORA              ;UN;UN;1
12955189;25000313;CORTINA PLASTICA DE 1800 X 180;0MM                           ;UN;UN;1
12955197;10901298;SATELITE SR0007 TAV.6 FIG.6 PO;S.9 MARFIN                    ;UN;UN;1
12955200;10901299;TIRANTE COD.DR0152 TAV.8 FIG. ;8 POS.13 MARFIN               ;UN;UN;1
12957441;12900466;BUJE GUIA DE PISTON P/PPB230  ;PLANO:290010036               ;UN;UN;1
12964464;13001111;BALANZA  SEW 6000.GRS X 0.1GRS;BALANZA  SEW 6000.GRS X 0.1GRS;UN;UN;1
12964481;25400430;CUPLA REDUCCION PVC CLOACAL DE;110MM A 63MM P/PEGAR 3.2 MM   ;UN;UN;1
12965088;12300769;REDUCTOR SMT RMI50 REL.1/7 B5 ;CON EJE SALIDA 24MM PAM 80    ;UN;UN;1
12965096;25157219;AMPERIMETRO  DC 85C1-A-DC5A   ;AMPERIMETRO  DC 85C1-A-DC5A   ;UN;UN;1
12985628;12001137;SOSTENGO  COD.14001424 POS.3  ;TAV.315.0 ANCORA              ;UN;UN;1
12985636;12001138;FLANGIA COD.14001426 POS.6    ;TAV.315.0 ANCORA              ;UN;UN;1
1268316;11700286;ELEMENTO LOGICO COD:160805 PH.;SITI  COMMESSA.103007         ;UN;UN;1
1268324;10300700;CILINDRO SOLLEVAMENTO TAV.7.2 ;FIG.4 COD.SMU 15605001 CAT.192;UN;UN;1
1268332;13100019;CATALOGO M. TRAVERTINO (CARTA);                              ;UN;UN;1
1266505;26200039;VASO TRANSPARENTE FACETADO    ;;UN;UN;1
1266513;12000147;RULLO DIAMANTADO ESGROSADOR AN;CORA 600/490/220 5 ESPIRAS MED;UN;UN;1
1266521;12000059;MOLA DIAMANTADA ESCUADRADORA B;MR-ANCORA R470 MEDIDA:300 X12X;UN;UN;1
1266530;12000597;RULLO COD.15001988            ;                              ;UN;UN;1
1266821;25155627;CABLE CANAL CKD80-25-BL COD.63;5001 ZOLODA                   ;MT;TI;1
1266839;25154931;PISO CANAL 75 X 17 MM DE ALTO ;TIRA X 2 MTS TTP-7517A-GR     ;MT;MT;1
1266847;25673342;"CAÑO COBRE DE 5/16""           ";;MT;TI;1
1266855;25600112;BARRA DE ESTAÑO 33%           ;                              ;UN;UN;1
1267022;11700462;CILINDRO COD.107300061301A PLA;NO 61301 MASS                 ;UN;UN;1
1267031;10300293;ELECTROVALVULA COD. REXROTH:4W;E10D33/CG24N9K4 COD:5576077 TA;UN;UN;1
1267049;29922993;BARRA TEFLON REDONDO 50 MM.   ;BARRA TEFLON REDONDO 50 MM.   ;KG;KG;1
1267057;11700066;ANELLO TRAMOGGINO COLORE COD:X;00096694 TAV.27 FIG.251 CARRO ;UN;TI;1
1263769;10500249;PORTA SPATOLA L=500 COD:102000;15 PLANO 00092                ;UN;UN;1
1263777;10900387;PIÑON Z 22 x 3/8 SAL MOT. PLAN;O:MR0400A3                    ;UN;UN;1
1263785;25900235;PILOTO TRASERO COD.11039553-0 ;P/VOLVO L90D                  ;UN;UN;1
1263911;11701069;BLOCCO COMANDO STAMPO PROPORZI;ONALE PRENSA SACMI 2800 COMPLE;UN;UN;1
1268359;25200004;CAÑO H. NEGRO 190x3.2 MM      ;;UN;TI;1
1268367;25152814;CAÑO RIGIDO DE PVC 75 MM      ;;UN;TI;1
1268375;29922476;CAÑO NEGRO C/C SCH40 3/4'     ;;UN;UN;1
1267743;29922740;CAÑO AC.INOX 304 S/C DIAM.EXT ;13.72 X 3.02 DIAM INT         ;KG;TI;1
1268130;25400346;CAÑO PVC DIAM.150MM X 5000MM L;ARGO                          ;UN;UN;1
1267268;12000555;PULEGGIA FISSA                ;300.004080.3B POS.17 BMR      ;UN;UN;1
1267276;11700908;TAMIZ PH-10 EN AC. INOX. 304 P;LANO:160010052                ;UN;UN;1
1267284;11600227;POLEA Z28 T5 PLANO.160010094  ;;UN;UN;1
1262432;10800331;PIGNONE COD:000-22611 B&T 926 ;BRAZO MOTORIZADO PL 080010313 ;UN;UN;1
1262441;10900119;SOPORTE VENTOSA CODIGO:12.34.0;0.032.D.01 CPK S120/1 PLANO.09;UN;UN;1
1262459;25900503;CASQUILLO GUIA COD.302.452.08.;02 LINDE H.35 SERIE H2X393T009;UN;UN;1
1262467;12000231;BLOCCHETTO POS52 COD FK0170130;12;UN;UN;1
1266898;29922053;FOTOPOLIMERO                  ;;UN;UN;1
1267663;13000095;TEST DE MODIFICACION DE INSICI;"ON DE RULOS DE SILICONA "" S.16";UN;UN;1
1267671;26100081;BLOCK DE PLANILLA CL-ESM-01 x ;50 HOJAS                      ;UN;UN;1
1267680;26100294;BLOCK DE PLANILLA LDES-02 x 50; HOJAS                        ;UN;BO;1
1268156;25200140;CAÑO 3/4´ HIERRO NEGRO P/SOLDA;R                             ;UN;UN;1
1268164;12000468;GRUPPO VITE REGOLABILE COD.K01;1024R02                       ;UN;KI;1
1268172;10800200;GRUPO CENTRADOR COMPLETO COD:A;MAAA..0692                    ;UN;KI;1
1267786;10900377;CONJUNTO MORDAZA PLANO:MR1008B;3/MR1002A3                    ;UN;KI;1
1268797;10300858;KIT GUARNIZIONI PISTONE-FLANGI;A PH1600 MATRICULA:362034     ;UN;KI;1
1268800;11701059;JUEGO DE PERNO Y TUERCA PLANOS;:62350.19.0009 y 62350.19.0001;UN;KI;1
1268818;10500218;KIT RUOTA ZIGRINATE IN METALLO; x 36 UNID. COD.93500100010 PO;UN;KI;1
1267612;11100356;CONJUNTO DE RELLENO TOWE      ;CONJUNTO DE RELLENO TOWE      ;UN;KI;1
1268771;10900810;POLEA POS:11 TAV:16 1/2 COD:12;2805600;UN;UN;1
1266901;10900889;SEPARADOR COD:133214200 POS:19; TAV:7 PLANO:090030011 SYNTHES;UN;UN;1
1266919;10301023;SERIE GUARNIZIONI COLONNETE 31;110;UN;UN;1
1266927;11100066;TRIANGULO DIAFRAGMA W=560 H=70; L=660 POS.105 PG1647.001     ;UN;UN;1
1267305;26300115;CONJUNTO DE PINTURA P/MARCACIO;N EN PLAYA                    ;UN;KI;1
1267313;12300331;FIXED ANNULUS RACE POS.19  P/V;ARIADOR MOD.NK010 CAT.13/89 PA;UN;UN;1
1267639;12300154;CONJ. UMI63 1/20 SAL.25mm PAN ;71 1400RPM 0.37KW C/FRENO B5  ;UN;UN;1
1267647;12300439;CONJUNTO UMI40 REL.1/10 PAN 71;B5 C/MOTOR 1400 RPM  0.37 KW  ;UN;UN;1
1266960;10300143;KIT COD.5603509               ;;UN;KI;1
1266978;11701108;KIT GUARNICION FIG.5A POS.26 P;H.4608 COMM.103007 EDIZ CAT.15;UN;KI;1
1266581;25672554;LOCTITE WELD BARRA X 57GR     ;;UN;BD;1
1266599;12100420;VISUALIZADOR 2.EJES COD.480300;14;UN;UN;1
1267903;29922022;HIERRO REDONDO TRAF. CALIBRADO;SAE 1045 8MM X 12 MTS         ;UN;UN;1
1267911;29922540;HIERRO REDONDO TRAF. CALIBRADO;SAE 1045 30MM X 12 MTS        ;UN;UN;1
1267920;29922044;BARRA ACERO PLATA 20MM CALIBRA;DO                            ;KG;TI;1
1267938;29922116;"HIERRO ANGULO 2"" X 3/16""      ";TIRA 6 Mts                    ;UN;UN;1
1267188;11800096;TABLA 03-1/2 POSICION 15 CODIG;O:R.132.97.12.M1 (TR2000) MAT:;UN;UN;1
1267196;11700444;TORNILLO CARGA DE COLORES PLAN;O:MR1427A3 LARGO 325MM        ;UN;UN;1
1267209;10500268;TESTINA  P/CAXDUO 12          ;;UN;UN;1
1267217;11800340;TABLA.2 POS.4 R.5509706M1 TGV/;MC2 MAT.I19971152 AÑO.1998    ;UN;UN;1
1031061;29922263;"HIERRO ANGULO 5"" X 5/16'      ";;KG;TI;1
1031079;29922612;"HIERRO ANGULO 5""X3/8""         ";                              ;UN;UN;1
1031087;29922200;"HIERRO ANGULO 5/8""x1/8""       ";;KG;TI;1
1031693;29922874;HIERRO REDONDO LAM.100MM SAE.4;140;KG;KG;1
1030746;29923047;HIERRO SAE.1045 REDONDO CALIBR;ADO DIAM.45MM                 ;KG;KG;1
1030754;25600090;ELECTRODO CONARCO 15 D.3 MM   ;;KG;KG;1
1030762;25600094;ELECTRODO CONARCO 15 D.4 MM   ;;KG;KG;1
1032055;29922262;PERFIL IPN 160 (160X74X6.5)   ;6 Mts DE LARGO                ;UN;UN;1
1030148;29922471;HIERRO IPN 80 (80x42x4)       ;                              ;KG;KG;1
1030156;25600629;MALLA DEL 4 DE 15 x 15 CM     ;MALLA DEL 4 DE 15 x 15 CM     ;UN;UN;1
1030164;25672981;HIERRO MALLADO DEL 8 15 X 15 C;M.                            ;KG;TI;1
1031175;29922274;HIERRO RED.TREFILADO 24 MM    ;;KG;TI;1
1030463;25600104;ELECTRODO GRISU 8 D.4 MM      ;;KG;KG;1
1030471;25673143;ELECTRODO LASTEK 807 5MM      ;;KG;KG;1
1030480;25673157;ELECTRODO LASTEK 85 DE 4 MM   ;;KG;KG;1
1030691;29922430;HIERRO SAE 1010 DIAM 260 MM   ;;KG;TI;1
1030869;29922115;"HIERRO ANGULO 11/2"" X 3/16""   ";"HIERRO ANGULO 11/2"" X 3/16""   ";UN;UN;1
1030877;29922225;"HIERRO ANGULO 11/2""X 1/4""     ";"HIERRO ANGULO 11/2""X 1/4""     ";UN;UN;1
1030885;29922114;"HIERRO ANGULO 11/4"" X 3/16""   ";                              ;UN;UN;1
1030771;25672467;ELECTRODO CONARCO 7016 EXTRA D;URO DIAM .2.50 MM             ;KG;KG;1
1031941;29922145;HIERRO UPN 80 (80X45X6)       ;6 Mts DE LARGO                ;UN;UN;1
1031950;25600128;LIMPIADOR MANUAL ULTRA FINO   ;;KG;KG;1
1031968;29922900;OXICORTE  12.70 SAE.1010      ;OXICORTE  12.70 SAE.1010      ;KG;KG;1
1031132;29922989;HIERRO CUADRADO TRAFILADO 16x1;6x4000 SAE1010                ;KG;TI;1
1029420;29922836;BARRA AC. INOX. 304 REDONDO 13;3x65                          ;KG;TI;1
1029438;25155548;EMBUTIR BI-PIN COMPL. MOD. MOV;. 4114/2 BCO.                 ;UN;UN;1
1029446;11900064;ELECTRODO DI ACCENSIONE SITI  ;COD.185099=160795 FIG.7 POS.10;UN;UN;1
1028697;10800049;ELECTROVALVULA COD:AOLAA0092 /;AD3E040-20 MARCA ARON         ;UN;UN;1
1032469;29922583;PLANCHUELA AISI 304 6.35X63MM ;;KG;TI;1
1032477;29922382;"PLANCHUELA AISI 410 3""x5/32"" A";C.INOX.                       ;KG;TI;1
1032485;29922742;PLANCHUELA ALUMINIO 20x100x240;0 MM                          ;KG;TI;1
1031731;29922236;HIERRO REDONDO LAMINADO SAE104;5 63.90 MM                    ;KG;TI;1
1031028;29922102;"HIERRO ANGULO 3/4"" X 1/8""     ";TIRA POR 6 MTS.               ;UN;UN;1
1031036;29922097;"HIERRO ANGULO 3/4"" X 3/16""    ";                              ;KG;KG;1
1031044;29922045;HIERRO ANGULO 3´X3/16´X6000   ;;KG;TI;1
1032371;29922914;PLACA HIERRO SAE.1010 442MM X ;442MM X 10MM ESPESOR RECTIFICA;KG;M2;1
1029340;25153372;FICHA HEMBRA MARCA ILME COD.CS;A 600V  6 POLOS 10AMP 400VOL  ;UN;UN;1
1029358;11700705;ESPIROBANDA DIAM.1/2'x1' 747D ;GRANO:50 3M COD:EB74701050    ;UN;UN;1
1029366;25600155;DISCO DE AMOLAR 150X75X25     ;;UN;UN;1
1029294;25673311;FRESA CILINDRICO FRONTAL 4 COR;TES DIAM. 16 MM               ;UN;UN;1
1032303;29922669;HIERRO TRAFILADO REDONDO 45MM ;SAE.1045                      ;KG;TI;1
1032311;29922967;"HIERRO TREFILADO 1""           ";"HIERRO TREFILADO 1""           ";KG;KG;1
1032320;29922033;HIERRO REDONDO TRAF. CALIBRADO;SAE 1045 14MM X 12 MTS        ;UN;UN;1
1031773;29922122;"PLANCHUELA DE HIERRO 3"" X 1/8""";;KG;TI;1
1030421;25673137;ELECTRODO DUROS AW CONOMANG 5M;M                             ;KG;KG;1
1030439;25600100;ELECTRODO ELGA P48S L450MM D.3;,2MM                          ;KG;KG;1
1030447;25672636;ELECTRODO ENTECTIC 308 3.2MM A;C. INOX.                      ;KG;KG;1
1032418;29922300;PLANCHUELA 10x20 AISI304 AC.IN;OX.                           ;KG;TI;1
1028304;13100015;CATALOGO AMADEUS (CARTA)      ;                              ;UN;UN;1
1028312;13100016;CATALOGO CARIBBEAN (CARTA)    ;                              ;UN;UN;1
1028321;13100028;CATALOGO CARIBEAN (POCKET 14 P;AG.)                          ;UN;UN;1
1028339;13100027;CATALOGO COTTO (CARTA)        ;                              ;UN;UN;1
1107854;25154704;MEDIDOR DE PH MOD:S595PH COD:8;0050005 RANGO:0-14PH 220V 3VA.;UN;UN;1
1107862;25155846;MEDIDOR MASICO PROMAS M COD:63;MT25-S2B01A00B1F SERIE:2M50503;UN;UN;1
1108152;29923051;PLANCHA DE TEFLON ANCHO 1000xE;SP. 2 MM                      ;UN;M2;1
12996044;22500758;GUIA LINEAL PARA RODAMIENTO   ; KUVE 20. DE  20X600MM LARGO  ;UN;UN;1
12996052;22500759;GUIA LINEAL PARA RODAMIENTO   ; KUVE 20. DE  20X800MM LARGO  ;UN;UN;1
12996061;25600780;HIERRO CUADRADO 5X5X2500MM DE ;LARGO MATERIAL P/CHAVETA      ;UN;UN;1
12996079;22800722;ELECTROVALVULA SSQ2000 PR1    ;3-C8  MARCA SMC               ;UN;UN;1
12996087;22800723;ELECTROVALVULA  SQ2231DN      ;5-C8-Q MARCA SMC              ;UN;UN;1
12996095;11600409;CINTA TRANSPORTADORA N°175    ;6150X400MM 2 TELAS RODILLO 220;UN;UN;1
12996116;10900002;REDUCTOR NUEVAFIMA COD:15312. ;0001 TAV 5.0 1/2 POS.9        ;UN;UN;1
12995842;25100570;TUERCA DE PERFIL C CINCADA    ;COD:11TP-01-1/4 SAMET         ;UN;UN;1
12995851;25100571;TUERCA DE PERFIL C CINCADA    ;COD:11TP-01-5/16 SAMET        ;UN;UN;1
12995869;25100572;SOPORTE MENSULA REFORZADA DE  ;180 MM GALV. 11SR-180-G SAMET ;UN;UN;1
12995877;25100573;SOPORTE MENSULA REFORZADA DE  ;230 MM GALV. SR-230-G SAMET   ;UN;UN;1
