codigo_jde;num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status
13101071;10500662;DESAIREADOR                   ;COD;SUN;SUN;1
13101089;10500696;ACOPLE DESAIREADOR            ;COD;SUN;SUN;1
13101097;10500778;FILTRO COD;;SUN;SUN;1
13101100;10500943;PRESOSTATO                    ;COD;SUN;SUN;1
13101118;10500944;ACOPLE FILTRO                 ;COD;SUN;SUN;1
13101126;10500945;FILTRO COD;;SUN;SUN;1
13101134;10500946;RACLA DE GOMA                 ;COD;SUN;SUN;1
13101142;10500947;RODILLO DE TAPETO             ;COD;SUN;SUN;1
13101151;10500948;CEPILLO COD;;SUN;SUN;1
13101169;10500949;BOMBA MAGNETICA               ;COD;SUN;SUN;1
13101177;10500950;BUJE COD;;SUN;SUN;1
13101185;10500951;RODILLO PLASTICO              ;COD;SUN;SUN;1
13101193;10500952;ACOPLE PLASTICO               ;COD;SUN;SUN;1
13101206;10500953;BUJE COD;;SUN;SUN;1
13101214;10500954;ACOPLE PLASTICO               ;COD;SUN;SUN;1
13101222;10500955;CODO PLASTICO                 ;COD;SUN;SUN;1
13101231;10500956;ACOPLE PLASTICO               ;COD;SUN;SUN;1
13101249;10500957;ACOPLE PLASTICO               ;COD;SUN;SUN;1
13101257;10500958;ACOPLE PLASTICO               ;COD;SUN;SUN;1
13101265;10500959;ACOPLE PLASTICO               ;COD;SUN;SUN;1
13101273;10500960;ACOPLE PLASTICO               ;COD;SUN;SUN;1
13101281;10500961;KIT DE ACOPLE                 ;COD;SUN;SUN;1
13101345;10500601;PRESOSTATO                    ;COD;SUN;SUN;1
13101353;10500962;ACOPLE PLASTICO               ;COD;SUN;SUN;1
13102305;25300123;"VALVULA MARIPOSA 3"" DE ASIENTO";ELASTICO MOD;SUN;SUN;1
13102356;10500602;RODILLO COD;;SUN;SUN;1
13102444;26100355;ADAPTADOR SATA + IDE A USB    ;MOD;SUN;SUN;1
13103236;25701014;TIJERA AVIACION DERECHA       ;MOD;SUN;SUN;1
13103455;25900690;"SONDA ETC 100 OHM PLAT 3.5""   ";X12FT COD;SUN;SUN;1
13104845;11100618;CARTUCCIA FILTRO POS.20       ;COD;SUN;SUN;1
13104853;11100619;FLANGIA PROLUNGA FILTRO POS.21;COD;SUN;SUN;1
13105522;25900693;MANGUERA INLET HOSE COD;;SUN;SUN;1
13105805;11100620;CARTUCCIA FILTRO POS.30       ;COD;SUN;SUN;1
13105872;26100397;LECTOR BIOMETRICO DE          ;ESCRITORIO MOD;SUN;SUN;1
13106672;25101322;PUNTERA SPARK P/CABLE 4,00MM  ;COD;SUN;SUN;1
13108352;10200017;JUNTA COD;;SUN;SUN;1
13108361;10200018;BRIDA COD;;SUN;SUN;1
13111199;11700766;SEMIRULLO MOTORE MASCHIO      ;COD;SUN;SUN;1
13111201;11700767;SEMIRULLO MOTORE FEMMINA      ;COD;SUN;SUN;1
13111842;12900550;BOMBA CENTRIFUGA AUTOCEBANTE  ;MOD;SUN;SUN;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
