num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status
10154612;MEDIO EMPALME  MTD34001082    ;0599.B02/4                    ;UN;UN;1
10154613;GRIFO 05176104 TAPO MTD340    ;0599.B02/5                    ;UN;UN;1
10154614;BRIDA MTD34001052             ;0599.B02/6                    ;UN;UN;1
25700956;BOMBA HIDRAULICA MANUAL       ;LIVIANAS 10.000 PSI           ;UN;UN;1
12000805;PLANO BEARING PLATE           ;TBS101A2-01V10 KEDA           ;UN;UN;1
12000899;PLANO BEARING PLATE 1         ;TBS71A9-01 KEDA               ;UN;UN;1
12001301;PLANO BEARING PLATE           ;TBS101A2-01V12 KEDA           ;UN;UN;1
11701586;PUNTERA RODILLO SITI EJE 15mm ;CABEZA CUADRADA DESPLAZADA    ;UN;UN;1
22500804;RODAMIENTO NJ 2205-ECP        ;                              ;UN;UN;1
25100984;INDICADOR UNIVERSAL NOVUS     ;MS NOVUS N1500 FT             ;UN;UN;1
12300839;CONJUNTO UMI90 REL.1/80 PAN 90;1500 RPM 1.1 KW B5 EJE SAL.35 ;UN;UN;1
12001296;RODILLO PARA TAPETE           ;PL:20080015                   ;UN;UN;1
12001297;RODILLO MOTRIZ DE TAPETE      ;PL:20080016                   ;UN;UN;1
22700195;O'RING SERIE:2-230            ;D.I 63.09 D.E 70.15 W=3.53    ;UN;UN;1
12002077;SATELITE TSI COLOMBO 25¯      ;200x60x10mm GRANA 100         ;UN;UN;1
12001319;LEVA DRIVE SHAFT FOR KY       ;K0236.02-23 POS.55 KEDA       ;UN;UN;1
10901564;ARANDELA D14 C9326014001      ;                              ;UN;UN;1
10901565;PERNO PALETA CH=17 L=25 D=14  ;-13 10R M10X1.25 C8111556601  ;UN;UN;1
12000599;CORREA LOWER PRESS BELT       ;100AT20-8880+3 APL SS         ;UN;UN;1
12001310;CA•O COLECTOR DE AGUA 1¯ MOD. ;RECTIFICADORA PL:200070052    ;UN;UN;1
12001311;CA•O COLECTOR DE AGUA 2¯ MOD. ;RECTIFICADORA PL:200070053    ;UN;UN;1
26000560;LAVAOJOS DE EMERGENCIA MANUAL ;POLIETILENO 2 UNIDADES        ;UN;UN;1
11700062;RODILLO ENTRADA SECADERO      ;LARGO 1640mm PL:030010396     ;UN;UN;1
11700081;RODILLO ENTRADA SECADERO      ;LARGO 1515mm PL:030010397     ;UN;UN;1
12001302;PLANO BEARING PLATE           ;TBS91A6-01V10 KEDA            ;UN;UN;1
12001303;RESORTE COMPRESSION SPRING    ;GB/T2089-1994 KEDA            ;UN;UN;1
